etngrp_src,lft_src,etngrp_dst,lft_dst,n
Autochtoon,"[70,80)",Autochtoon,"[60,70)",4160
Autochtoon,"[70,80)",Autochtoon,"[70,80)",3410
Autochtoon,"[70,80)",Marokkaans,"[20,30)",80
Autochtoon,"[70,80)",Marokkaans,"[30,40)",60
Autochtoon,"[70,80)",Overig,"[0,20)",30
Autochtoon,"[70,80)",Overig,"[20,30)",850
Autochtoon,"[70,80)",Overig,"[30,40)",830
Autochtoon,"[70,80)",Overig,"[40,50)",620
Autochtoon,"[70,80)",Overig,"[50,60)",550
Autochtoon,"[70,80)",Overig,"[60,70)",560
Autochtoon,"[70,80)",Overig,"[70,80)",200
Autochtoon,"[70,80)",Surinaams,"[20,30)",260
Autochtoon,"[70,80)",Surinaams,"[30,40)",200
Autochtoon,"[70,80)",Surinaams,"[40,50)",60
Autochtoon,"[70,80)",Surinaams,"[50,60)",100
Autochtoon,"[70,80)",Surinaams,"[60,70)",150
Autochtoon,"[70,80)",Turks,"[20,30)",40
Marokkaans,"[0,20)",Autochtoon,"[0,20)",224320
Marokkaans,"[0,20)",Autochtoon,"[20,30)",28290
Marokkaans,"[0,20)",Autochtoon,"[30,40)",11370
Marokkaans,"[0,20)",Autochtoon,"[40,50)",6230
Marokkaans,"[0,20)",Autochtoon,"[50,60)",5890
Marokkaans,"[0,20)",Autochtoon,"[60,70)",2640
Marokkaans,"[0,20)",Marokkaans,"[0,20)",360520
Marokkaans,"[0,20)",Marokkaans,"[20,30)",28200
Marokkaans,"[0,20)",Marokkaans,"[30,40)",6270
Marokkaans,"[0,20)",Marokkaans,"[40,50)",3980
Marokkaans,"[0,20)",Marokkaans,"[50,60)",1690
Marokkaans,"[0,20)",Marokkaans,"[60,70)",130
Marokkaans,"[0,20)",Overig,"[0,20)",247850
Marokkaans,"[0,20)",Overig,"[20,30)",30750
Marokkaans,"[0,20)",Overig,"[30,40)",26510
Marokkaans,"[0,20)",Overig,"[40,50)",6370
Marokkaans,"[0,20)",Overig,"[50,60)",3240
Marokkaans,"[0,20)",Overig,"[60,70)",920
Marokkaans,"[0,20)",Surinaams,"[0,20)",68370
Marokkaans,"[0,20)",Surinaams,"[20,30)",11910
Marokkaans,"[0,20)",Surinaams,"[30,40)",2400
Marokkaans,"[0,20)",Surinaams,"[40,50)",2250
Marokkaans,"[0,20)",Surinaams,"[50,60)",1790
Marokkaans,"[0,20)",Surinaams,"[60,70)",260
Marokkaans,"[0,20)",Turks,"[0,20)",145620
Marokkaans,"[0,20)",Turks,"[20,30)",14450
Marokkaans,"[0,20)",Turks,"[30,40)",4310
Marokkaans,"[0,20)",Turks,"[40,50)",2380
Marokkaans,"[0,20)",Turks,"[50,60)",190
Marokkaans,"[20,30)",Autochtoon,"[0,20)",15790
Marokkaans,"[20,30)",Autochtoon,"[20,30)",84140
Marokkaans,"[20,30)",Autochtoon,"[30,40)",35120
Marokkaans,"[20,30)",Autochtoon,"[40,50)",23580
Marokkaans,"[20,30)",Autochtoon,"[50,60)",25820
Marokkaans,"[20,30)",Autochtoon,"[60,70)",13770
Marokkaans,"[20,30)",Autochtoon,"[70,80)",80
Marokkaans,"[20,30)",Marokkaans,"[0,20)",28930
Marokkaans,"[20,30)",Marokkaans,"[20,30)",40560
Marokkaans,"[20,30)",Marokkaans,"[30,40)",15230
Marokkaans,"[20,30)",Marokkaans,"[40,50)",11430
Marokkaans,"[20,30)",Marokkaans,"[50,60)",5740
Marokkaans,"[20,30)",Marokkaans,"[60,70)",240
Marokkaans,"[20,30)",Overig,"[0,20)",18420
Marokkaans,"[20,30)",Overig,"[20,30)",52010
Marokkaans,"[20,30)",Overig,"[30,40)",35400
Marokkaans,"[20,30)",Overig,"[40,50)",17350
Marokkaans,"[20,30)",Overig,"[50,60)",15060
Marokkaans,"[20,30)",Overig,"[60,70)",4590
Marokkaans,"[20,30)",Overig,"[70,80)",40
Marokkaans,"[20,30)",Surinaams,"[0,20)",8110
Marokkaans,"[20,30)",Surinaams,"[20,30)",20560
Marokkaans,"[20,30)",Surinaams,"[30,40)",8720
Marokkaans,"[20,30)",Surinaams,"[40,50)",6590
Marokkaans,"[20,30)",Surinaams,"[50,60)",7400
Marokkaans,"[20,30)",Surinaams,"[60,70)",3090
Marokkaans,"[20,30)",Surinaams,"[70,80)",20
Marokkaans,"[20,30)",Turks,"[0,20)",10410
Marokkaans,"[20,30)",Turks,"[20,30)",19600
Marokkaans,"[20,30)",Turks,"[30,40)",7610
Marokkaans,"[20,30)",Turks,"[40,50)",4440
Marokkaans,"[20,30)",Turks,"[50,60)",1920
Marokkaans,"[20,30)",Turks,"[60,70)",40
Marokkaans,"[30,40)",Autochtoon,"[0,20)",3430
Marokkaans,"[30,40)",Autochtoon,"[20,30)",32500
Marokkaans,"[30,40)",Autochtoon,"[30,40)",32620
Marokkaans,"[30,40)",Autochtoon,"[40,50)",27430
Marokkaans,"[30,40)",Autochtoon,"[50,60)",32790
Marokkaans,"[30,40)",Autochtoon,"[60,70)",17260
Marokkaans,"[30,40)",Autochtoon,"[70,80)",50
Marokkaans,"[30,40)",Marokkaans,"[0,20)",6520
